gene_id	ko	assignment	score_type	threshold	bit_score	e_value	domain_bit_score	domain_e_value	definition
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1068467_1	K02003	threshold	domain	279.73	308.9	6.6e-93	308.6	8.2e-93	putative ABC transport system ATP-binding protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1072788_1	K03407	rescued	domain	503.27	467.8	1.3e-140	439.1	5.7e-132	two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1072788_10	K03526	threshold	full	101.57	414.1	1.2e-124	413.9	1.4e-124	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1072788_11	K03832	threshold	domain	33.93	36.2	1.1e-09	36.0	1.2e-09	periplasmic protein TonB
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1072788_13	K23677	threshold	full	170.57	290.7	4.5e-87	226.8	9.5e-68	MFS transporter, Spinster family, sphingosine-1-phosphate transporter
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1072788_17	K01712	rescued	full	262.8	248.6	2.3e-74	248.4	2.7e-74	urocanate hydratase [EC:4.2.1.49]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1072788_2	K03408	rescued	full	103.93	99.2	5.1e-29	99.1	5.7e-29	purine-binding chemotaxis protein CheW
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1072788_3	K03413	threshold	domain	136.73	144.3	9.5e-43	144.2	1e-42	two-component system, chemotaxis family, chemotaxis protein CheY
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1072788_4	K03412	threshold	domain	206.9	424.4	1.6e-127	424.2	1.9e-127	two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1072788_5	K00575	threshold	domain	142.6	284.5	3e-85	284.4	3.2e-85	chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1072788_6	K00571	threshold	domain	157.27	219.7	1.3e-65	218.6	2.9e-65	site-specific DNA-methyltransferase (adenine-specific) [EC:2.1.1.72]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1072788_6	K07316	threshold	domain	200.63	212.1	3.1e-63	211.9	3.5e-63	adenine-specific DNA-methyltransferase [EC:2.1.1.72]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1072788_8	K00016	threshold	full	326.33	389.9	4.3e-117	389.7	4.7e-117	L-lactate dehydrogenase [EC:1.1.1.27]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1072788_9	K01497	threshold	domain	151.63	289.7	8e-87	289.4	9.5e-87	GTP cyclohydrolase II [EC:3.5.4.25]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1129848_7	K00773	threshold	full	532.0	544.9	3.1e-164	544.6	3.9e-164	queuine tRNA-ribosyltransferase [EC:2.4.2.29]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1129848_8	K00950	threshold	domain	40.4	222.5	1.5e-66	222.3	1.8e-66	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1134566_1	K01937	threshold	full	99.0	522.6	3.1e-157	522.4	3.5e-157	CTP synthase [EC:6.3.4.2]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1134566_2	K07722	threshold	full	53.93	195.1	2e-58	195.0	2.2e-58	CopG family transcriptional regulator, nickel-responsive regulator
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1134566_4	K07029	threshold	domain	168.67	222.7	1.3e-66	222.5	1.4e-66	diacylglycerol kinase (ATP) [EC:2.7.1.107]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1134566_5	K00772	threshold	full	294.6	372.0	6.5e-112	371.8	7.4e-112	5'-methylthioadenosine phosphorylase [EC:2.4.2.28]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_10	K07636	threshold	domain	325.8	374.9	1.2e-112	374.7	1.4e-112	two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_11	K02483	threshold	full	244.4	255.1	2e-76	254.9	2.4e-76	two-component system, OmpR family, response regulator
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_12	K11089	rescued	full	117.8	93.6	1.6e-27	59.7	3.1e-17	60 kDa SS-A/Ro ribonucleoprotein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_14	K07090	threshold	domain	47.13	78.5	8.3e-23	78.4	8.9e-23	uncharacterized protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_15	K01463	threshold	domain	206.17	254.6	2.1e-76	254.4	2.2e-76	N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_17	K00548	threshold	domain	264.2	269.2	1.4e-80	268.8	1.8e-80	5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_17	K24042	threshold	domain	453.93	750.3	2.3e-226	750.1	2.7e-226	methionine synthase / methylenetetrahydrofolate reductase (NADH) [EC:2.1.1.13 1.5.1.54]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_18	K03602	threshold	domain	21.63	82.1	7.9e-24	82.0	9e-24	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_19	K18475	threshold	full	74.27	246.8	1.1e-73	246.6	1.3e-73	lysine-N-methylase [EC:2.1.1.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_2	K07646	threshold	domain	235.27	469.6	4.2e-141	469.3	5e-141	two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_20	K07079	threshold	domain	208.1	233.0	9.4e-70	232.6	1.2e-69	uncharacterized protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_21	K02536	threshold	domain	164.3	343.8	2.8e-103	343.7	3.1e-103	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase [EC:2.3.1.191]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_22	K02517	threshold	domain	207.03	294.7	2.2e-88	294.5	2.4e-88	Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_23	K20523	threshold	domain	62.73	149.2	2.2e-44	148.9	2.7e-44	SH3 domain-containing YSC84-like protein 1
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_7	K07796	threshold	full	255.17	278.1	2.4e-83	277.8	2.9e-83	outer membrane protein, copper/silver efflux system
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_8	K07798	threshold	domain	304.47	391.4	9.8e-118	391.1	1.2e-117	membrane fusion protein, copper/silver efflux system
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_8	K15727	threshold	full	264.63	295.3	1.9e-88	295.1	2.3e-88	membrane fusion protein, heavy metal efflux system
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_9	K07787	threshold	full	1127.57	1523.8	0.0	1523.5	0.0	copper/silver efflux system protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_9	K15726	threshold	full	1179.13	1211.9	0.0	1211.7	0.0	heavy metal efflux system protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_114066_2	K00971	threshold	full	231.97	445.9	6.3e-134	445.8	6.9e-134	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_114066_3	K00812	threshold	domain	462.23	478.3	5.4e-144	478.2	5.9e-144	aspartate aminotransferase [EC:2.6.1.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_114066_7	K00954	threshold	full	76.1	259.8	3.4e-78	259.7	3.7e-78	pantetheine-phosphate adenylyltransferase [EC:2.7.7.3]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_114066_8	K01667	threshold	full	679.73	740.8	2.5e-223	740.6	2.8e-223	tryptophanase [EC:4.1.99.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1146832_4	K02529	threshold	full	274.9	371.5	1.4e-111	371.2	1.7e-111	LacI family transcriptional regulator, galactose operon repressor
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1146832_7	K05810	threshold	full	64.43	259.8	8.7e-78	259.6	1e-77	purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1149798_10	K19092	rescued	domain	29.5	28.4	2.7e-07	28.2	3.1e-07	toxin ParE1/3/4
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1149798_13	K00992	threshold	domain	184.47	199.7	1.1e-59	199.4	1.3e-59	N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1149798_14	K06958	rescued	full	147.17	135.0	5.8e-40	134.8	6.7e-40	RNase adapter protein RapZ
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1149798_2	K28279	threshold	domain	59.2	66.9	3.8e-19	66.8	4.1e-19	ribonuclease VapC22 [EC:3.1.-.-]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1149798_3	K28280	threshold	full	49.73	54.1	3.3e-15	53.9	3.6e-15	antitoxin VapB22
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1149798_4	K03644	threshold	full	178.67	479.9	3.7e-144	479.5	4.7e-144	lipoyl synthase [EC:2.8.1.8]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1149798_5	K07063	threshold	full	42.73	109.4	3.5e-32	109.3	3.8e-32	uncharacterized protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1149798_7	K02838	threshold	full	52.77	209.4	1.5e-62	209.2	1.7e-62	ribosome recycling factor
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1149798_8	K00605	threshold	full	410.77	476.0	3.1e-143	475.8	3.5e-143	glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1151340_2	K01733	threshold	full	241.1	398.0	1.3e-119	397.8	1.6e-119	threonine synthase [EC:4.2.3.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1151340_4	K07117	rescued	domain	124.03	101.1	1.4e-29	100.9	1.6e-29	uncharacterized protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1151340_5	K02343	threshold	full	236.93	518.2	4.8e-156	518.1	5.4e-156	DNA polymerase III subunit gamma/tau [EC:2.7.7.7]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1151340_6	K09747	threshold	full	43.57	108.5	5.9e-32	108.4	6.3e-32	nucleoid-associated protein EbfC
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1151340_7	K06187	threshold	full	95.87	311.4	1.9e-93	311.2	2.1e-93	recombination protein RecR
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1151340_9	K02050	threshold	full	141.73	294.7	2e-88	184.6	4.7e-55	NitT/TauT family transport system permease protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1153898_1	K07001	threshold	domain	96.33	242.2	1.7e-72	241.8	2.2e-72	NTE family protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1158698_10	K03588	threshold	full	352.1	383.1	2.7e-115	382.9	3.2e-115	peptidoglycan glycosyltransferase [EC:2.4.99.28]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1158698_11	K01925	threshold	full	359.8	519.6	1.7e-156	519.4	1.9e-156	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1158698_12	K01000	threshold	domain	182.23	449.1	4.4e-135	449.0	4.8e-135	phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1158698_13	K01929	threshold	full	321.53	489.0	3.1e-147	488.9	3.4e-147	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1158698_14	K01928	threshold	full	343.67	572.3	2e-172	572.0	2.4e-172	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1158698_15	K16568	rescued	full	172.37	145.1	4.8e-43	144.8	5.9e-43	exopolysaccharide production protein ExoZ
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1158698_2	K01129	threshold	full	95.97	333.3	5.4e-100	333.0	6.7e-100	dGTPase [EC:3.1.5.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1158698_5	K12957	threshold	full	388.73	492.9	6.6e-149	492.7	7.4e-149	alcohol/geraniol dehydrogenase (NADP+) [EC:1.1.1.2 1.1.1.183]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1158698_5	K13953	threshold	domain	328.4	328.9	8.6e-99	328.7	1e-98	alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1158698_9	K02563	threshold	domain	238.57	382.7	5.2e-115	382.6	5.7e-115	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1160156_1	K02340	threshold	domain	98.63	192.8	2.1e-57	192.6	2.5e-57	DNA polymerase III subunit delta [EC:2.7.7.7]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1160156_12	K03116	threshold	domain	53.5	63.3	4e-18	63.2	4.2e-18	sec-independent protein translocase protein TatA
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1160156_2	K03643	threshold	full	33.9	45.8	1e-12	45.6	1.2e-12	LPS-assembly lipoprotein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1160156_4	K08978	threshold	domain	72.87	174.4	6.7e-52	174.3	7.4e-52	bacterial/archaeal transporter family protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1160156_5	K07727	threshold	full	42.0	97.5	1.5e-28	97.4	1.6e-28	putative transcriptional regulator
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1160156_8	K03624	rescued	full	159.57	152.1	2.9e-45	152.1	3.1e-45	transcription elongation factor GreA
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1163246_1	K04564	threshold	full	39.13	301.0	1.6e-90	300.9	1.8e-90	superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1163254_12	K01858	threshold	full	86.03	427.9	1.4e-128	427.7	1.6e-128	myo-inositol-1-phosphate synthase [EC:5.5.1.4]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1163254_13	K03975	threshold	full	59.47	99.3	3.9e-29	99.2	4.1e-29	membrane-associated protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1163254_14	K00435	rescued	domain	244.23	236.8	4.4e-71	236.4	5.8e-71	hydrogen peroxide-dependent heme synthase [EC:1.3.98.5]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1163254_18	K19092	threshold	domain	29.5	31.1	4.1e-08	30.9	4.7e-08	toxin ParE1/3/4
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1163254_2	K02160	threshold	domain	94.37	159.0	2.2e-47	158.7	2.7e-47	acetyl-CoA carboxylase biotin carboxyl carrier protein
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1163254_21	K03734	threshold	full	41.37	299.0	9.7e-90	298.8	1.1e-89	FAD:protein FMN transferase [EC:2.7.1.180]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1163254_22	K10773	threshold	full	131.4	286.6	7.2e-86	286.5	7.7e-86	endonuclease III [EC:3.2.2.- 4.2.99.18]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1163254_23	K01719	threshold	domain	43.33	164.7	6.6e-49	164.5	7.7e-49	uroporphyrinogen-III synthase [EC:4.2.1.75]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1163254_24	K01749	threshold	full	105.0	404.7	1.3e-121	404.5	1.5e-121	hydroxymethylbilane synthase [EC:2.5.1.61]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1163254_25	K02492	threshold	full	70.4	534.8	4e-161	534.6	4.8e-161	glutamyl-tRNA reductase [EC:1.2.1.70]
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1163254_3	K01262	threshold	full	257.57	271.5	2.9e-81	265.9	1.4e-79	Xaa-Pro aminopeptidase [EC:3.4.11.9]
