query	seed_ortholog	evalue	score	eggNOG_OGs	tax_ceiling	farthest_donor_lineage	COG_category	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	annotation_confidence
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_797667_7	251229.Chro_4009	5.56e-13	79.7	FHA@131567|Fl-12,ABC2_membrane@131567|O-4,ABC_tran|W53EX9@2	Prokaryota	1;131567;2;1783272;1239;186801;2770089;2770093;555078;520764	COG1716	artM	GO:0005515	ec:2.7.11.1,ec:3.4.21.107	K21397	01503,02020	-	-	-	00001,02000	-	-	-	ABC2_membrane_637_846,ABC_tran_359_506,FHA_164_226,FHA_257_320,FHA_27_94	lllhl---h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_860512_9	251229.Chro_4442	4.05e-18	80.5	DUF1778@131567|Ac-8	Prokaryota	1;131567;2;3379134;1224;1236;135619;376625;1861843;197479	-	kacA	GO:0097351	-	-	-	-	-	-	-	-	-	-	DUF1778_20_98	ll----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1072788_3	1210884.GCA_000531095_06344	4.4e-34	122.0	Response_reg|16LMX0@131567	Prokaryota	1;131567;2;3379134;200930;68337;191393;191394;53572;197162;639282	-	cheY	-	ec:2.7.13.3	K03413	02020,02030	-	-	-	00001,02022,02035	-	-	-	Response_reg_4_115	l-lhh---h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_690455_17	517418.Ctha_1715	4.27e-74	252.0	UNK.L1EP@2|A-1	Prokaryota	1;131567;2;3379134;1224;28211;204455;2854170;599652;441112	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_145337_7	408074.SAMN05660909_04511	1.58e-136	406.0	MFS_1@131567|BTD-22	Prokaryota	1;131567;2;3379134;1783270;68336;976;1853228;1853229;563835;79328;408074	-	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1_64_340	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1354354_19	1636152.VT85_16880	2.83e-255	715.0	Carboxyl_trans@131567|AJy-22	Prokaryota	1;131567;2;3379134;1783257;203682;203683;112;126;118;2648843;1636152	COG4799	-	-	ec:2.1.3.1	K17489	00640,01100	-	-	-	00001,01000	-	-	-	Carboxyl_trans_34_517	--hhh---h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1674290_10	278961.GCA_000800015_01246	2.45e-21	110.0	Plug@131567|GB-9,Plug@57723|hev-31,Plug@2|Kv-10,CarboxypepD_reg@131567|C-2,CarboxypepD_reg@204432|GER-33,CarboxypepD_reg@57723|FfT-32,CarboxypepD_reg@2|ASd-16	Prokaryota	1;131567;2;3379134;1783270;68336;976;768503;768507;89373;107;1178516	COG4771	oar	-	-	K02014,K03286,K03832,K06907,K07004,K07114,K08358,K16089,K19611	00920,01100,01120,02020	-	-	-	00001,02000	-	-	-	CarboxypepD_reg_33_113,Plug_135_238	l--ll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_873008_20	278961.GCA_000800015_01266	4.02e-11	63.9	NusA_N@131567|A-1,KH_5@131567|A-1,S1@131567|pX-41,HHH_5@131567|KI-12	Prokaryota	1;131567;2;3379134;200940;3031651;69541;2812024;2812025;19;338963	COG0195	nusA	GO:0001000,GO:0005515,GO:0005829,GO:0006353,GO:0008023,GO:0019904,GO:0031564,GO:0032784,GO:0051259	-	K02600	03010	-	-	-	00001,03009,03021	-	-	-	HHH_5_369_417,KH_5_233_301,NusA_N_5_128,S1_136_197	hl-hl---h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_855330_2	278961.GCA_000800015_01755	8.74e-49	174.0	TonB_C@131567|C-2!	Prokaryota	1;131567;2;3379134;1783257;74201;414999;415000;134623;1961799;1838286	COG0810	tonB	-	-	K03832	-	-	-	-	00001,02000	-	-	-	TonB_C_231_298	m--m----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_422710_9	278961.GCA_000800015_01907	3.84e-118	350.0	-	Prokaryota	1;131567;2;3379134;200940;3031651;3031668;213422;225352;1798318	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_559550_19	278961.GCA_000800015_02524	6.22e-26	104.0	TadE@131567|FC-10	Prokaryota	1;131567;2;3379134;1224;28211;33807;1797230	COG4961	-	-	-	-	-	-	-	-	-	-	-	-	TadE_23_64	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_365379_5	278961.GCA_000800015_02863	8.68e-39	142.0	-	Prokaryota	1;131567;2;3379134;1783257;74201;414999;415000;134623;178440;107709;452637	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_390947_4	278961.GCA_000800015_03558	3.02e-70	229.0	S1-P1_nuclease@131567|A-1	Prokaryota	1;131567;2;3379134;1802340;1293497;1293498;1293499;407032;35800;35801;1266370	S	msi	-	ec:3.1.30.1	K05986	-	-	-	-	00001,01000,03400	-	-	-	S1-P1_nuclease_57_311	l-hh----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_400337_15	1254432.SCE1572_09950	4.09e-90	287.0	Serpin@49|Gtl-36,Serpin@131567|PU-13	Prokaryota	1;131567;2;3379134;2818505;32015;29;80811;31;32;83455;1278073	COG4826	spi	-	-	-	-	-	-	-	-	-	-	-	Serpin_72_442	l-----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1890997_9	112090.W4GWT0	1.82e-07	55.1	Acetyltransf_1@131567|AaL-21,Acetyltransf_1@2759|Fva-28	Eukaryota	1;131567;2759;33154;33208;6072;33213;33317;1206794;6231;119089;6236;2301116;2301119;55879;6243;55885;6237;1561998	S	NAA50	GO:0000278,GO:0001756,GO:0004596,GO:0005515,GO:0005575,GO:0005634,GO:0005681,GO:0005730,GO:0005737,GO:0005829,GO:0006474,GO:0007064,GO:0008080,GO:0008150,GO:0010485,GO:0031248,GO:0031415,GO:0034087,GO:0043687,GO:0051604,GO:0061630,GO:0061733,GO:0070062,GO:0071962	ec:2.3.1.258,ec:2.3.1.309	K20793	-	-	-	-	00001,01000,03036	-	-	-	Acetyltransf_1_34_123	llmm----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_993421_6	1801849.A2166_01385	1.19e-66	215.0	ABC_tran|UEQ6G8@131567	Prokaryota	1;131567;2;3379134;1783257;74201;134549;1836787;1836792;295577;191863;497964	-	mkl	-	-	K01990,K02065	02010	-	-	-	00001,02000	-	-	-	ABC_tran_19_167	l--ll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1300790_1	1798570.A2X47_06230	1.86e-18	84.3	UNK.EJSB@2|A-1	Prokaryota	1;131567;2;1783272;201174;1760;85009;2726069;182639;460086;1122138	COG5340	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1446517_2	1805421.AUJ82_03705	1.17e-24	100.0	dCMP_cyt_deam_1@131567|Ez-11	Prokaryota	1;131567;2;3379134;1783257;74201;417295;1805421	COG0295	-	-	-	-	-	-	-	-	-	-	-	-	dCMP_cyt_deam_1_14_111	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1482035_12	391735.Veis_3340	1.38e-33	120.0	HTH_37@131567|BX-8	Prokaryota	1;131567;2;3379134;1224;28211;204441;2813951;196080;64973;1123355	COG5606	-	-	-	-	-	-	-	-	-	-	-	-	HTH_37_18_96	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1163254_15	391735.Veis_3961	2.96e-21	87.4	UNK.K3WC@2|A-1	Prokaryota	1;131567;2;3379134;57723;204432;204433;204434;1768185;1577687	COG2002	ofn32	-	-	K19156	-	-	-	-	00001,02048	-	-	-	-	l--m----m----
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_690455_33	1792543.GCA_001696715_02189	1.22e-30	121.0	UvrA_DNA-bind@131567|Ag-10,UvrA_inter@131567|AI-10	Prokaryota	1;131567;2;3379134;1224;28216;80840;119060;131079;2630203;391597	COG0178	uvrA	GO:0071281	-	K03701	03420	-	-	-	00001,03400	-	-	-	UvrA_DNA-bind_509_618,UvrA_inter_140_199,UvrA_inter_351_457	ll-ll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_392638_3	1121116.GCA_000374625_00515	4.06e-75	230.0	LMWPc@131567|CA-9	Prokaryota	1;131567;2;3379134;200783;187857;32069;64898;168657;2622382;547144	-	arsC2	-	ec:1.20.4.4	K03741	-	-	-	-	00001,01000	-	-	-	LMWPc_9_142	l-mm----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_871081_13	1177181.T9A_02121	1.07e-05	48.9	UNK.3O6Q@131567|A-1	Prokaryota	1;131567;2;3379134;1224;1236;135619;224372;59753;2638842;1113895	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1881987_3	1797337.A2X11_06240	7.63e-107	320.0	NTP_transferase@131567|d-5	Prokaryota	1;131567;2;2323;1783234;1783273;1794810;1752722;1618600	COG0836	murE	-	ec:2.7.7.9,ec:6.3.2.13	K00963,K01928	00040,00052,00300,00500,00520,00541,00550,01100,01110,01240,01250	M00129,M00549,M00854	-	-	00001,01000,01011	-	-	-	NTP_transferase_6_227	l-llll--l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_623292_1	1803587.GCA_001593825_00476	8.68e-26	103.0	UNK.MBYA@131567|A-1	Prokaryota	1;131567;2;3379134;1224;28211;204455;2854170;2855478;1914408	COG0863	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1958034_18	1123065.GCA_000421225_03816	0.000126	45.1	-	Prokaryota	1;131567;2;1783272;201174;1760;85007;1762;1073531;1792835	-	vapB29	GO:0045927	-	-	-	-	-	-	-	-	-	-	-	ll-----------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_198023_3	1674824.GCA_001603485_00079	2.26e-33	136.0	ABC2_membrane_3@131567|I-4	Prokaryota	1;131567;2;3379134;1783270;68336;1134404;795747;795748;795749;795750;591197;945713	COG1668	natB	-	-	K01992	-	-	-	-	00001,02000	-	-	-	ABC2_membrane_3_7_301	l--l----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_647613_4	866564.GCA_000709345_01002	4.13e-245	685.0	DDE_5@131567|B-2	Prokaryota	1;131567;2;1783272;201174;1760;85007;85025;1817;282685;1206731	-	-	-	-	-	-	-	-	-	-	-	-	-	DDE_5_23_251	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1248276_2	1855912.LuPra_02759	5.21e-164	478.0	rve@131567|w-6	Prokaryota	1;131567;2;3379134;74152;1797919;1797952	COG4584	istA	-	-	-	-	-	-	-	-	-	-	-	rve_157_270	l-----------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2104672_17	1797183.A3H29_06110	3.75e-16	85.9	PDZ_2@131567|Aa-7!,Peptidase_M50@131567|Ev-10	Prokaryota	1;131567;2;3379134;1783257;203682;203683;2691354;2691357;2005380;980251	COG0793	degP1_2	GO:0005576	ec:3.4.21.107	K04771	01503,02020	-	-	-	00001,01000,01002,03110	-	-	-	PDZ_2_177_265,PDZ_2_46_135,Peptidase_M50_12_141,Peptidase_M50_199_266	mlmmm---m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_392638_1	1797183.A3H29_17105	1.63e-57	184.0	Ferritin@2|De-11,Ferritin@131567|y-7	Prokaryota	1;131567;2;3379134;1224;1236;135613;72276;106633;2621013;1158762	COG2193	bfr	GO:0004322,GO:0005506,GO:0005515,GO:0005576,GO:0005737,GO:0005829,GO:0005886,GO:0006826,GO:0010039,GO:0016020,GO:0016491,GO:0020037,GO:0042802,GO:0042803,GO:0070288,GO:0140315	ec:1.16.3.1	K03594	00860	-	-	-	00001,01000	-	-	-	Ferritin_8_143	llmmm---m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_797667_3	413882.AAW51_5372	1.06e-48	167.0	Sigma70_ECF@131567|Pm-21	Prokaryota	1;131567;2;3379134;1224;28211;204458;76892;20;2640670;1660128	-	-	-	-	-	-	-	-	-	-	-	-	-	Sigma70_ECF_36_228	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_647613_7	1230905.A0A1G4KBK4	0.000158	46.2	AA_kinase@131567|Af-7,ACT_7@131567|C-2	Eukaryota	1;131567;2759;33154;4751;451864;5204;5302;155619;452333;5338;2982305;2982187;71684;181874	COG0527	HOM3	GO:0000097,GO:0003674,GO:0004072,GO:0005515,GO:0005575,GO:0005737,GO:0005829,GO:0006566,GO:0009088,GO:0009090,GO:0071265,GO:0071266	ec:2.7.2.4	K00928	00260,00261,00270,00300,01100,01110,01210,01230	M00016,M00017,M00018,M00033,M00525,M00526,M00527	-	-	00001,01000	-	-	ASPK	AA_kinase_6_307,ACT_7_433_494	llmmmm--m--lh
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_124654_12	278959.Ga0100231_23460	3.34e-66	206.0	HTH_32@131567|A-1	Prokaryota	1;131567;2;1783272;1798711;1117;3028117;3079749;1890438;1005722;268141;1850361	COG3415	-	-	-	-	-	-	-	-	-	-	-	-	HTH_32_64_144	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2127156_11	1797174.A2V74_07165	9.87e-05	45.4	MazE_antitoxin@131567|c-6	Prokaryota	1;131567;2;3379134;1224;28216;80840;80864;433923;433924	COG2002	-	-	-	-	-	-	-	-	-	-	-	-	MazE_antitoxin_8_46	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_404270_5	1356854.N007_03105	1.53e-45	172.0	PASTA@131567|nV-18,Pkinase|HUTFLN@131567	Prokaryota	1;131567;2;1783272;200795;32061;32064;1508594;104174;104175;104176;765420	COG2815	pknB	GO:0004674,GO:0004721,GO:0005515,GO:0005886,GO:0007165,GO:0009847,GO:0019901,GO:0030428,GO:0042834,GO:0071224,GO:0106310,GO:0140549	ec:2.7.11.1	K12132	-	-	-	-	00001,01000,01001	-	-	-	PASTA_355_418,PASTA_424_488,PASTA_493_555,Pkinase_10_265	hlhh----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_860512_4	1797961.A2218_05125	6.88e-65	216.0	RVT_1@131567|B-2!	Prokaryota	1;131567;2;2323;1783234;1783273;1794811;1752739;1798473	COG3344	rrt	-	ec:2.7.7.49	K00986	-	-	-	-	00001,01000,01612	-	-	-	RVT_1_52_232	l-mm----m---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_324538_5	1173020.Cha6605_2263	1.98e-31	118.0	RES@131567|B-2,RES@1117|Auv-26	Prokaryota	1;131567;2;3384194;1297;188787;68933;188786;2935559;52022;526227	COG5654	-	-	-	-	-	-	-	-	-	-	-	-	RES_4_143	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_930740_1	1004836.SXCC_02522	8.99e-111	331.0	Oxidored_FMN@131567|BRM-22	Prokaryota	1;131567;2;3379134;1224;28216;80840;2975441;93681;2626991;1881035	COG1902	nemA1	-	-	K10680	00633,01120	-	-	-	00001	-	-	-	Oxidored_FMN_50_372	l--ll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_332152_15	337097.BHF71_01930	2e-82	265.0	CCG@131567|Dd-11,Fer4_8@131567|vR-18	Prokaryota	1;131567;2;1783272;1239;91061;1385;186817;1434042;632773	COG0247	glpC	-	-	K00113	00564,01110	-	-	-	00001	-	-	-	CCG_164_248,CCG_295_377,Fer4_8_9_73	l--ll---l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_2115470_6	1738638.AP285_07700	1.07e-190	545.0	MFS_1@131567|uF-17	Prokaryota	1;131567;2;2323;1783234;221235;2787866;1643353	COG2211	malY	-	-	K16211	-	-	-	-	00001,02000	-	-	-	MFS_1_18_387	l--h----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_120966_7	1682113.A7U43_20760	2.9e-12	76.3	DUF2971@131567|A-1	Prokaryota	1;131567;2;3379134;57723;204432;204433;204434;940557;940614;682795	COG2956	-	-	-	-	-	-	-	-	-	-	-	-	DUF2971_122_230	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1138881_8	233316.A6K25_09320	2.16e-33	141.0	HMBD@131567|B-2,HlyD_D23@131567|Vv-17	Prokaryota	1;131567;2;3379134;1224;1236;135619;135620;459520;1806669	COG0845	cusB	-	-	K07798	02020	-	-	-	00001,02000	-	-	-	HMBD_49_75,HlyD_D23_113_320	l--hh---h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_363974_8	1121117.SAMN02745977_02517	1.44e-37	136.0	UNK.9J1Y@1224|A-1	Prokaryota	1;131567;2;3379134;1224;1236;135622;72275;1172191;1172192;659495	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-------------
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_91332_10	983548.Krodi_2879	1.57e-06	58.9	Redoxin@68336|mt-17,Redoxin@131567|CE-8	Prokaryota	1;131567;2;3379134;1224;28211;356;2831100;85413;2653178;1907408	-	stoA_2	GO:0005515,GO:0005576,GO:0005886,GO:0015036,GO:0017004	ec:1.11.1.24	K02199,K03564	-	-	-	-	00001,01000,03110	-	-	-	Redoxin_91_194	llll----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_860109_21	1121861.GCA_000378465_03843	1.07e-06	50.8	Arc@131567|A-1	Prokaryota	1;131567;2;3379134;1224;1236;72273;135617;1030;525917;1123401	COG4877	stbC	-	-	K21495	-	-	-	-	00001,02048	-	-	-	Arc_18_51	l--l----l---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1844053_8	1798571.A2017_08175	5.85e-22	88.2	VapB_antitoxin@131567|BN-9	Prokaryota	1;131567;2;2323;1783234;1817807;3106474;1817870	COG5450	-	-	-	-	-	-	-	-	-	-	-	-	VapB_antitoxin_1_47	------------h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1197882_7	1859473.BG261_02310	2.34e-80	248.0	Sod_Fe_C@131567|Gw-13,Sod_Fe_N@131567|Ac-7	Prokaryota	1;131567;2;2323;1783234;95818;1895827;1802143	COG0605	sodA	GO:0004784,GO:0005515,GO:0005576,GO:0005737,GO:0005829,GO:0006801,GO:0006979,GO:0009408,GO:0010447,GO:0019430,GO:0071291,GO:0071793	ec:1.15.1.1	K04564	-	-	-	-	00001,01000	-	-	-	Sod_Fe_C_99_197,Sod_Fe_N_3_89	mlhh----h---h
2022_IncS_CWRU.v17.P_3d_r1_COMS58.sb.117_sub_2022_IncS_CWRU.v17.P_3d_r1_COMS58_k141_1441668_3	1736578.ASD79_06740	9.07e-24	94.7	HicB@131567|A-1	Prokaryota	1;131567;2;1783272;1798711;1117;3028117;3079749;1890438;1005722;268141;1666911	COG4226	-	-	-	K02034,K07497,K18843	02024	-	-	-	00001,02000,02048	-	-	-	HicB_5_35	---ll---l---h
